tick,completed_cumulative,completed_now,total_energy,dead_agents,latency_ms
239,22,0,3236.5250000000033,1,2.261900022858754
240,23,1,3247.600000000003,1,1.651700004003942
241,23,0,3259.5250000000033,1,2.157799986889586
242,23,0,3268.5250000000024,1,2.1041999862063676
243,23,0,3276.5250000000033,1,64.17120000696741
244,23,0,3279.6250000000027,1,3.3881000126712024
245,23,0,3282.725000000003,1,2.065200009383261
246,23,0,3286.975000000003,1,2.053100004559383
247,23,0,3291.225000000002,1,3.635000000940636
248,23,0,3295.475000000003,1,2.267600008053705
249,23,0,3300.725000000003,1,2.0127999887336046
250,23,0,3304.9750000000026,1,2.53060000250116
251,23,0,3309.2250000000026,1,2.1204999939072877
252,24,1,3313.475000000003,1,2.2718999825883657
253,24,0,3317.575000000003,1,2.2002000187058
254,24,0,3321.6750000000025,1,2.0243999897502363
255,24,0,3325.775000000003,1,1.8896000110544264
256,24,0,3330.0250000000024,1,2.4964000040199608
257,24,0,3334.275000000003,1,1.7545000009704381
258,24,0,3338.525000000003,1,2.1290000004228204
259,24,0,3342.775000000003,1,2.330999996047467
260,24,0,3347.0250000000024,1,1.6971000004559755
261,24,0,3351.4250000000025,1,2.153400011593476
262,24,0,3355.825000000003,1,1.6349999932572246
263,24,0,3363.150000000003,1,2.275900013046339
264,24,0,3370.475000000003,1,2.815299987560138
265,24,0,3374.8750000000027,1,1.6340000147465616
266,24,0,3379.2750000000024,1,2.0055000204592943
267,24,0,3388.5750000000025,1,2.46679998235777
268,24,0,3397.8750000000027,1,2.0240000158082694
269,24,0,3407.1750000000025,1,2.300499996636063
270,24,0,3416.4750000000026,1,2.2871999826747924
271,24,0,3425.775000000002,1,2.0151000062469393
272,24,0,3435.0750000000016,1,2.074699994409457
273,24,0,3445.5250000000024,1,2.184599987231195
274,24,0,3455.9750000000017,1,1.9428000086918473
275,25,1,3465.275000000003,1,2.3182000149972737
276,25,0,3468.3750000000023,1,2.0280999888200313
277,25,0,3471.4750000000017,1,2.3221999872475863
278,25,0,3474.575000000002,1,2.1861999994143844
279,25,0,3478.675000000002,1,2.612700016470626
280,25,0,3482.775000000003,1,2.0834000024478883
281,25,0,3486.8750000000023,1,2.602299995487556
282,25,0,3494.050000000002,1,2.1050999930594116
283,25,0,3501.2250000000017,1,2.304499997990206
284,25,0,3505.4750000000017,1,1.7370000132359564
285,25,0,3509.7250000000026,1,1.9926000095438212
286,25,0,3513.975000000002,1,2.1120999881532043
287,25,0,3518.2250000000017,1,2.1431999921333045
288,25,0,3522.475000000002,1,1.6675000078976154
289,25,0,3525.7250000000017,1,2.1572000114247203
290,25,0,3527.8250000000016,1,1.627900026505813
291,25,0,3532.850000000002,1,2.132599998731166
292,25,0,3538.8750000000023,1,2.4344999983441085
